Name,Agrivoltaic Activities,System Size,Site Size,Year Installed,PV Technology,Type Of Array,Habitat Type,Crop Types,Animal Type
FastSun 19,Habitat,1.4,11.6,2020,,Fixed,Pollinator,,
FastSun 2,Habitat,1.4,13.25,2020,,Single-axis Tracking,Pollinator,,
FastSun 21,Habitat,1.5,4.7,2021,,Single-axis Tracking,Pollinator,,
FastSun 3,Habitat,1.4,9.9,2019,,Single-axis Tracking,Pollinator,,
FastSun 7,Habitat,1.2,7.36,2019,,Single-axis Tracking,Pollinator,,
FastSun 8,Habitat,1.4,9.96,2019,,Single-axis Tracking,Pollinator,,
FastSun 9,Habitat,1.4,12.46,2020,,Single-axis Tracking,Pollinator,,
Felton CSG PV1-5,"Habitat,Grazing",6.5,70,2019,,Fixed,Native grasses,,Sheep
Fennimore Solar,Habitat,4.11,17.5,2019,,Single-axis Tracking,Pollinator,,
Fiddlehead Farms,Crop Production,,0.3,2023,Monofacial PV,,,"grapes, persimmons, blueberries, peaches, pears, apples, kiwis, tomatoes, peppers, broccoli, kale",
Fitchburg Renewables,"Habitat,Grazing",5.1,18.8,2020,,Fixed,Pollinator,,Sheep
Fitchburg Solar,"Habitat,Grazing",0.7,3.7,2017,,Fixed,Pollinator,,Sheep
Five Points Solar Park,Grazing,84.1,480,2016,,Single-axis Tracking,,,Sheep
Flower Solar,Habitat,1.4,9.6,2020,,Single-axis Tracking,Pollinator,,
Fond Du Lac,Habitat,1.2,6,2021,,Fixed,Pollinator,,
Forest City Solar,Habitat,4,12.5,2019,,Single-axis Tracking,Pollinator,,
Fountain,Habitat,3.8,20.93,2021,,Single-axis Tracking,Pollinator,,
"Fox CSG, LLC","Habitat,Grazing",6.5,31,2018,,Fixed,Native grasses,,Sheep
Foxhound Solar,Habitat,108,580,2023,,Single-axis Tracking,Pollinator,,
